open_time_utc,close_time_utc,symbol,interval,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,price_range,price_change,price_change_pct,volume_per_trade,taker_ratio
2023-09-01T00:00:00Z,2023-09-01T00:29:59Z,BTCUSDT,30m,25940.77,26034.97,25931.11,26028.72,706.77601,18364430.7236977,14628,466.98971,12132852.0942585,103.86000000000058,87.95000000000073,0.00339041593599576,0.048316653677878046,0.660732259432518
2023-09-01T00:30:00Z,2023-09-01T00:59:59Z,BTCUSDT,30m,26028.72,26070.0,26017.41,26051.97,334.16483,8702183.5511297,9674,198.60832,5172046.5255341,52.590000000000146,23.25,0.0008932440780799056,0.03454257080835228,0.5943423788793093
2023-09-01T01:00:00Z,2023-09-01T01:29:59Z,BTCUSDT,30m,26051.97,26057.9,25989.78,25997.84,644.87814,16777319.4511509,11658,254.01336,6608545.8181894,68.12000000000262,-54.13000000000102,-0.0020777699344810014,0.05531636129696346,0.3938935811965963
2023-09-01T01:30:00Z,2023-09-01T01:59:59Z,BTCUSDT,30m,25997.84,26003.92,25974.13,25985.72,462.88879,12030773.1253344,9384,276.79836,7194071.3309531,29.789999999997235,-12.119999999998981,-0.00046619257599858226,0.04932744991474851,0.5979802621705314
2023-09-01T02:00:00Z,2023-09-01T02:29:59Z,BTCUSDT,30m,25985.71,26052.75,25985.71,26047.93,508.26281,13220926.5784205,9959,324.88103,8450158.7383039,67.04000000000087,62.220000000001164,0.0023943929182616585,0.051035526659303145,0.6391989018437135
2023-09-01T02:30:00Z,2023-09-01T02:59:59Z,BTCUSDT,30m,26047.93,26100.0,26041.15,26058.62,457.72389,11930641.0047538,10479,250.27347,6523455.1449891,58.849999999998545,10.68999999999869,0.0004103972945258487,0.04368011165187518,0.5467782553364213
2023-09-01T03:00:00Z,2023-09-01T03:29:59Z,BTCUSDT,30m,26058.62,26062.24,26043.63,26045.06,304.77778,7939515.9525429,6681,122.33246,3186680.7753842,18.610000000000582,-13.559999999997672,-0.000520365238067007,0.045618587037868585,0.4013824761109553
2023-09-01T03:30:00Z,2023-09-01T03:59:59Z,BTCUSDT,30m,26045.06,26094.9,26045.05,26081.01,234.0608,6103509.3385111,7159,145.55625,3795595.627299,49.85000000000218,35.94999999999709,0.0013803001413702672,0.03269462215393212,0.6218736755578038
2023-09-01T04:00:00Z,2023-09-01T04:29:59Z,BTCUSDT,30m,26081.0,26095.0,26050.0,26056.72,379.19249,9887740.9154295,7864,127.71132,3330284.6729706,45.0,-24.279999999998836,-0.000930945899313632,0.04821878051881994,0.3367981259333485
2023-09-01T04:30:00Z,2023-09-01T04:59:59Z,BTCUSDT,30m,26056.71,26056.72,26039.0,26044.46,198.28191,5164543.5614332,6891,81.42554,2120799.5867854,17.720000000001164,-12.25,-0.000470128423734232,0.028774040052242055,0.41065541480813855
