open_time_utc,close_time_utc,symbol,interval,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,price_range,price_change,price_change_pct,volume_per_trade,taker_ratio
2023-03-01T00:00:00Z,2023-03-01T00:29:59Z,BTCUSDT,30m,23141.57,23219.99,23116.07,23170.13,5003.7126,115918456.4518512,191994,2545.74183,58976707.4248032,103.92000000000189,28.56000000000131,0.0012341427137398764,0.02606181755679865,0.5087705936587965
2023-03-01T00:30:00Z,2023-03-01T00:59:59Z,BTCUSDT,30m,23170.13,23217.13,23020.03,23101.0,7733.23658,178690345.7990156,238199,3773.45813,87184930.5474978,197.10000000000218,-69.13000000000102,-0.0029835827420908304,0.032465445194984024,0.4879532768671614
2023-03-01T01:00:00Z,2023-03-01T01:29:59Z,BTCUSDT,30m,23101.0,23169.1,23075.14,23152.02,4917.13801,113733015.6506296,174792,2503.01758,57894490.3782986,93.95999999999913,51.02000000000044,0.0022085623998961273,0.028131367625520615,0.509039521548837
2023-03-01T01:30:00Z,2023-03-01T01:59:59Z,BTCUSDT,30m,23152.02,23296.94,23150.12,23245.96,6657.03919,154675904.603039,231292,3367.14927,78237323.8485116,146.8199999999997,93.93999999999869,0.004057529321415526,0.02878196906940145,0.5058028312433593
2023-03-01T02:00:00Z,2023-03-01T02:29:59Z,BTCUSDT,30m,23245.96,23288.78,23235.64,23244.87,3326.57511,77371323.2050633,152248,1645.72117,38276938.0268707,53.13999999999942,-1.0900000000001455,-4.688986817494935e-05,0.021849713033997162,0.4947193782135885
2023-03-01T02:30:00Z,2023-03-01T02:59:59Z,BTCUSDT,30m,23244.87,23336.46,23234.2,23331.21,4579.24628,106652532.1356288,195132,2360.11319,54969665.0115385,102.2599999999984,86.34000000000015,0.0037143679444109666,0.023467428612426462,0.5153933738632638
2023-03-01T03:00:00Z,2023-03-01T03:29:59Z,BTCUSDT,30m,23332.57,23498.0,23305.97,23421.87,10329.15048,241783692.9618345,303828,5407.69929,126587247.5042122,192.02999999999884,89.29999999999927,0.00382726806348376,0.03399670366128204,0.5235376617342107
2023-03-01T03:30:00Z,2023-03-01T03:59:59Z,BTCUSDT,30m,23423.14,23489.0,23403.67,23441.14,4617.54383,108290116.8762015,171404,2353.39753,55191807.8547188,85.33000000000175,18.0,0.0007684708369586657,0.026939533674826724,0.5096643619731489
2023-03-01T04:00:00Z,2023-03-01T04:29:59Z,BTCUSDT,30m,23440.37,23485.43,23425.44,23468.05,3439.31366,80656805.3980044,162791,1758.25345,41236586.1386749,59.9900000000016,27.68000000000029,0.0011808687320208808,0.021127173246678253,0.5112221866964004
2023-03-01T04:30:00Z,2023-03-01T04:59:59Z,BTCUSDT,30m,23468.05,23847.0,23466.57,23794.48,12005.95035,284084332.0364329,329286,6685.07822,158175228.7676084,380.4300000000003,326.4300000000003,0.013909549366053008,0.03646055511014741,0.5568137486092469
2023-03-01T05:00:00Z,2023-03-01T05:29:59Z,BTCUSDT,30m,23794.48,23821.56,23646.16,23682.34,7285.93705,172889235.5569264,236660,3564.17322,84581087.4553311,175.40000000000146,-112.13999999999942,-0.004712857772054671,0.030786516732865716,0.48918528880235107
2023-03-01T05:30:00Z,2023-03-01T05:59:59Z,BTCUSDT,30m,23682.34,23725.72,23631.97,23694.17,5187.07241,122845286.441185,175520,2627.56281,62229393.7775813,93.75,11.829999999998108,0.0004995283405270809,0.029552600330446672,0.5065598862538339
2023-03-01T06:00:00Z,2023-03-01T06:29:59Z,BTCUSDT,30m,23695.14,23746.55,23666.0,23729.89,4522.73384,107208434.0047628,149073,2221.21187,52652634.3906273,80.54999999999927,34.75,0.001466545460377107,0.030339054288838353,0.4911215093745159
2023-03-01T06:30:00Z,2023-03-01T06:59:59Z,BTCUSDT,30m,23729.89,23803.39,23702.27,23752.75,6843.23485,162560908.3242936,210779,3442.96084,81790681.1890756,101.11999999999898,22.860000000000582,0.0009633420129634222,0.03246639774360823,0.5031189072811085
2023-03-01T07:00:00Z,2023-03-01T07:29:59Z,BTCUSDT,30m,23752.75,23762.22,23681.0,23720.45,6758.56767,160355940.3893827,198741,3292.85683,78130500.4453141,81.22000000000116,-32.29999999999927,-0.0013598425445474427,0.03400691186015971,0.4872122305760682
2023-03-01T07:30:00Z,2023-03-01T07:59:59Z,BTCUSDT,30m,23720.45,23734.53,23692.99,23716.06,3394.32314,80487372.6522147,132785,1703.69761,40399857.744423,41.539999999997235,-4.389999999999418,-0.00018507237425931708,0.025562549534962533,0.5019255797784768
2023-03-01T08:00:00Z,2023-03-01T08:29:59Z,BTCUSDT,30m,23716.06,23795.0,23681.81,23735.13,6297.41339,149554347.4232633,191196,3163.05769,75119722.9391208,113.18999999999869,19.06999999999971,0.0008040964645898058,0.032936951557563966,0.5022788713573717
2023-03-01T08:30:00Z,2023-03-01T08:59:59Z,BTCUSDT,30m,23735.13,24000.0,23721.81,23867.78,8751.68999,208684623.8452886,243349,4543.82154,108358281.6702386,278.1899999999987,132.64999999999782,0.005588762311392346,0.03596353381357639,0.5191936123413804
2023-03-01T09:00:00Z,2023-03-01T09:29:59Z,BTCUSDT,30m,23869.01,23907.68,23754.5,23788.14,7787.79122,185551813.8886028,217399,3702.46598,88217002.8254706,153.1800000000003,-80.86999999999898,-0.0033880751652456045,0.03582257149296915,0.47541926528430994
2023-03-01T09:30:00Z,2023-03-01T09:59:59Z,BTCUSDT,30m,23786.79,23816.69,23725.07,23756.14,5397.95809,128290703.5006897,170610,2604.51836,61902118.4147694,91.61999999999898,-30.650000000001455,-0.0012885303145149663,0.031639165875388314,0.48250066350552195
2023-03-01T10:00:00Z,2023-03-01T10:29:59Z,BTCUSDT,30m,23755.74,23766.73,23673.44,23725.32,5220.4058,123844468.9968389,165595,2486.93134,58999037.1885079,93.29000000000087,-30.42000000000189,-0.0012805326207477388,0.03152514145958513,0.47638659431418146
2023-03-01T10:30:00Z,2023-03-01T10:59:59Z,BTCUSDT,30m,23724.46,23787.46,23715.12,23777.62,4039.37571,95935146.049519,140069,2063.01726,48997435.071876,72.34000000000015,53.159999999999854,0.0022407253948035005,0.028838470396733037,0.5107267578236737
2023-03-01T11:00:00Z,2023-03-01T11:29:59Z,BTCUSDT,30m,23777.62,23788.4,23738.51,23749.04,3858.91221,91733048.5513071,131442,1843.49264,43824338.0236297,49.890000000003056,-28.57999999999811,-0.001201970592515067,0.029358288903090335,0.4777233944899721
2023-03-01T11:30:00Z,2023-03-01T11:59:59Z,BTCUSDT,30m,23750.5,23767.64,23700.0,23739.17,4240.20725,100623352.3297189,141248,2084.1535,49458663.8523738,67.63999999999942,-11.330000000001746,-0.0004770425885771561,0.030019591427843228,0.4915216113551996
2023-03-01T12:00:00Z,2023-03-01T12:29:59Z,BTCUSDT,30m,23739.87,23797.09,23717.9,23787.79,3719.24864,88319518.1499712,124824,1890.09157,44886016.2816667,79.18999999999869,47.92000000000189,0.002018545173162359,0.029795941806062935,0.5081917755302319
2023-03-01T12:30:00Z,2023-03-01T12:59:59Z,BTCUSDT,30m,23786.81,23820.51,23701.09,23722.6,6163.37758,146381515.1532857,174504,3080.06241,73161061.0332848,119.41999999999825,-64.21000000000276,-0.0026993951690034417,0.035319405744280934,0.4997361219592845
2023-03-01T13:00:00Z,2023-03-01T13:29:59Z,BTCUSDT,30m,23722.6,23735.17,23636.5,23646.54,5823.80793,137983050.0358176,175238,2659.93855,63022539.2686262,98.66999999999825,-76.05999999999767,-0.0032062252872786996,0.03323370461886121,0.45673528075985154
