open_time_utc,close_time_utc,symbol,interval,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,price_range,price_change,price_change_pct,volume_per_trade,taker_ratio
2024-01-01T00:00:00Z,2024-01-01T00:29:59Z,BTCUSDT,30m,42283.58,42554.57,42261.02,42419.73,823.95971,34966550.5579296,29983,424.2892,18002617.6191659,293.5500000000029,136.15000000000146,0.003219926032753174,0.027480896174498882,0.5149392559497843
2024-01-01T00:30:00Z,2024-01-01T00:59:59Z,BTCUSDT,30m,42419.73,42490.74,42354.19,42475.23,447.72137,18990698.4158594,17151,258.28661,10954799.2004791,136.54999999999563,55.5,0.001308353447794222,0.026104680193574717,0.5768914045804872
2024-01-01T01:00:00Z,2024-01-01T01:29:59Z,BTCUSDT,30m,42475.23,42513.17,42431.65,42493.16,341.2479,14492995.5562032,13836,195.10908,8285706.270976,81.5199999999968,17.93000000000029,0.00042212837929306773,0.024663768430182136,0.5717517382524552
2024-01-01T01:30:00Z,2024-01-01T01:59:59Z,BTCUSDT,30m,42493.16,42775.0,42493.16,42613.56,855.13066,36491897.7919384,36560,517.21319,22069939.0773004,281.8399999999965,120.39999999999418,0.0028333971867470944,0.02338978829321663,0.6048352774533895
2024-01-01T02:00:00Z,2024-01-01T02:29:59Z,BTCUSDT,30m,42613.57,42638.41,42531.1,42546.01,356.59799,15178732.7650154,15307,133.15169,5667196.9500934,107.31000000000495,-67.55999999999767,-0.0015854104690125159,0.023296399686417977,0.3733943929409137
2024-01-01T02:30:00Z,2024-01-01T02:59:59Z,BTCUSDT,30m,42546.0,42606.25,42500.0,42581.1,328.62181,13988645.2082221,14556,155.83695,6633820.3496686,106.25,35.099999999998545,0.0008249894232124887,0.02257638156086837,0.4742136561173466
2024-01-01T03:00:00Z,2024-01-01T03:29:59Z,BTCUSDT,30m,42581.09,42586.64,42419.39,42429.47,344.99248,14664278.6559735,16286,150.82682,6411573.2823277,167.25,-151.61999999999534,-0.0035607355283764543,0.021183377133734495,0.4371887178526326
2024-01-01T03:30:00Z,2024-01-01T03:59:59Z,BTCUSDT,30m,42429.47,42459.02,42230.08,42330.49,449.81143,19044771.6181401,22334,205.54527,8701423.0935222,228.93999999999505,-98.9800000000032,-0.0023328125475053823,0.020140209098235873,0.4569587526933231
2024-01-01T04:00:00Z,2024-01-01T04:29:59Z,BTCUSDT,30m,42330.5,42377.43,42209.46,42307.39,418.97363,17720665.4782348,20123,219.25611,9273315.5762934,167.97000000000116,-23.110000000000582,-0.0005459420512396637,0.020820634597227054,0.5233172073383234
2024-01-01T04:30:00Z,2024-01-01T04:59:59Z,BTCUSDT,30m,42307.4,42399.99,42283.86,42399.99,296.44397,12550955.5225042,15915,151.86401,6430303.3556919,116.12999999999738,92.58999999999651,0.0021885060296779404,0.01862670248193528,0.5122857111918991
2024-01-01T05:00:00Z,2024-01-01T05:29:59Z,BTCUSDT,30m,42399.98,42406.0,42297.9,42297.91,371.73868,15742483.9837821,15505,177.20275,7504134.758174,108.09999999999854,-102.06999999999971,-0.0024073124562794534,0.02397540664301838,0.4766863378328024
