timestamp,symbol,open,high,low,close,volume,num_trades,quote_volume,taker_volume,price_range,price_change,volume_per_trade,taker_ratio
2026-02-20T13:38:03,BTCUSDT,66912.12,66912.12,66912.11,66912.11,0.17243,11,11537.6568367,0.17094,0.00999999999476131,-0.00999999999476131,0.015675454545454545,1.4815833268351242e-05
2026-02-20T14:06:11,BTCUSDT,66891.57,66891.58,66891.57,66891.58,0.15047,4,10065.1745389,0.0001,0.00999999999476131,0.00999999999476131,0.0376175,9.935247482646115e-09
2026-02-20T14:06:12,BTCUSDT,66891.57,66891.57,66891.57,66891.57,0.00016,1,10.7026512,0.0,0.0,0.0,0.00016,0.0
2026-02-20T14:06:13,BTCUSDT,66891.57,66891.57,66891.57,66891.57,0.00299,1,200.0057943,0.0,0.0,0.0,0.00299,0.0
2026-02-20T14:06:14,BTCUSDT,66891.57,66896.52,66891.57,66896.52,0.07846,63,5248.464754,0.05249,4.94999999999709,4.94999999999709,0.0012453968253968255,1.0001019814412572e-05
2026-02-20T14:06:15,BTCUSDT,66896.51,66896.52,66896.51,66896.52,0.4494,4,30063.2942934,0.26994,0.010000000009313226,0.010000000009313226,0.11235,8.979055900046915e-06
2026-02-20T14:06:16,BTCUSDT,66896.52,66896.52,66896.51,66896.52,0.02307,9,1543.3027091,0.02234,0.010000000009313226,0.0,0.0025633333333333333,1.4475449222160638e-05
2026-02-20T14:06:17,BTCUSDT,66896.52,66896.52,66896.51,66896.51,0.01697,3,1135.2337813,0.00066,0.010000000009313226,-0.010000000009313226,0.005656666666666667,5.813780481798283e-07
2026-02-20T14:06:18,BTCUSDT,66896.51,66896.52,66896.51,66896.51,0.00201,5,134.4619966,0.00115,0.010000000009313226,0.0,0.000402,8.552602438449884e-06
2026-02-20T14:06:19,BTCUSDT,66896.52,66896.52,66896.52,66896.52,0.00677,4,452.8894404,0.00677,0.0,0.0,0.0016925,1.4948460697208165e-05
2026-02-20T14:06:20,BTCUSDT,66896.51,66896.52,66896.51,66896.51,0.08253,4,5520.9696868,0.07165,0.010000000009313226,0.0,0.0206325,1.2977792682199808e-05
2026-02-20T14:06:21,BTCUSDT,66896.51,66896.51,66896.27,66896.27,0.69127,57,46243.5502085,0.00083,0.23999999999068677,-0.23999999999068677,0.012127543859649124,1.7948448946020546e-08
2026-02-20T14:06:22,BTCUSDT,66896.27,66896.27,66896.27,66896.27,0.0,0,0.0,0.0,0.0,0.0,0,0
2026-02-20T14:06:23,BTCUSDT,66896.27,66896.27,66896.27,66896.27,0.0,0,0.0,0.0,0.0,0.0,0,0
2026-02-20T14:06:24,BTCUSDT,66896.26,66896.27,66896.26,66896.27,0.00239,4,159.8820745,0.00131,0.010000000009313226,0.010000000009313226,0.0005975,8.193538919836821e-06
2026-02-20T14:06:25,BTCUSDT,66896.26,66896.27,66896.26,66896.27,0.20133,16,13468.2260381,0.20123,0.010000000009313226,0.010000000009313226,0.012583125,1.4941091679835518e-05
2026-02-20T14:06:26,BTCUSDT,66896.27,66896.27,66896.26,66896.27,0.17249,7,11538.9361095,0.02221,0.010000000009313226,0.0,0.02464142857142857,1.9247875011383866e-06
2026-02-20T14:06:27,BTCUSDT,66896.26,66896.27,66890.89,66890.9,0.97474,193,65206.0932765,0.04301,5.380000000004657,-5.360000000000582,0.005050466321243524,6.596009335756452e-07
2026-02-20T14:06:28,BTCUSDT,66890.9,66890.9,66890.9,66890.9,0.00015,1,10.033635,0.00015,0.0,0.0,0.00015,1.4949716628121313e-05
2026-02-20T14:06:29,BTCUSDT,66890.89,66890.9,66890.89,66890.9,0.00122,2,81.6068873,0.00015,0.00999999999476131,0.00999999999476131,0.00061,1.8380801542959965e-06
2026-02-20T14:06:30,BTCUSDT,66890.9,66890.9,66890.9,66890.9,0.00068,7,45.485812,0.00068,0.0,0.0,9.714285714285715e-05,1.4949716628121315e-05
2026-02-20T14:06:31,BTCUSDT,66890.89,66890.9,66890.89,66890.89,0.16324,8,10919.2689026,0.0019,0.00999999999476131,0.0,0.020405,1.740043236363186e-07
2026-02-20T14:06:32,BTCUSDT,66890.9,66894.22,66890.9,66894.22,0.45238,30,30260.5641409,0.45238,3.320000000006985,3.320000000006985,0.015079333333333333,1.4949489966334297e-05
2026-02-20T14:06:33,BTCUSDT,66894.21,66894.22,66894.21,66894.22,0.00318,10,212.7236158,0.0028,0.00999999999476131,0.00999999999476131,0.00031800000000000003,1.3162619436821363e-05
2026-02-20T14:06:34,BTCUSDT,66894.22,66894.22,66894.21,66894.22,0.02809,4,1879.0586319,0.0273,0.00999999999476131,0.0,0.0070225,1.4528551444079079e-05
2026-02-20T14:06:35,BTCUSDT,66894.22,66904.37,66894.21,66904.37,0.34577,174,23130.6238039,0.34569,10.15999999998894,10.14999999999418,0.001987183908045977,1.4945122229765112e-05
2026-02-20T14:06:36,BTCUSDT,66904.72,66906.59,66904.71,66906.59,0.19386,36,12970.4495818,0.0436,1.8799999999901047,1.8699999999953434,0.005385,3.3614871809207807e-06
2026-02-20T14:06:37,BTCUSDT,66906.58,66906.58,66898.88,66898.89,4.78217,249,319950.2527761,0.00529,7.69999999999709,-7.690000000002328,0.019205502008032126,1.6533820348946317e-08
2026-02-20T14:06:38,BTCUSDT,66898.89,66898.89,66898.88,66898.89,0.01629,6,1089.7828171,0.00619,0.00999999999476131,0.0,0.002715,5.6800308307962585e-06
2026-02-20T14:06:39,BTCUSDT,66898.88,66898.88,66898.88,66898.88,0.08611,4,5760.6625568,0.0,0.0,0.0,0.0215275,0.0
2026-02-20T14:06:40,BTCUSDT,66898.89,66898.89,66898.88,66898.88,0.38767,10,25934.6911909,0.23813,0.00999999999476131,-0.00999999999476131,0.038767,9.181909984860563e-06
2026-02-20T14:06:41,BTCUSDT,66898.89,66903.95,66898.88,66903.95,0.11336,78,7584.1828855,0.11309,5.069999999992433,5.059999999997672,0.0014533333333333334,1.4911296537457423e-05
